From,To,Cost
0,2,8.973460031236941
2,0,9.557288545567747
0,4,4.090975826170517
0,9,7.0231699985869716
0,3,9.958678015548129
1,5,5.221816873689617
9,1,5.2537720285407055
1,7,4.479569960957948
1,8,3.3330787141737583
1,5,6.152090020251318
2,0,5.6944049475551255
8,2,5.7370124498168265
2,1,5.780467301128538
2,0,7.548903169998761
2,7,4.075100230370337
3,1,6.510729593419272
7,3,4.768690050451008
3,9,5.254837701038452
3,7,9.351707252742978
3,5,3.389481447915433
4,9,6.38467639230317
8,4,4.771073998206004
4,0,1.9923487062578409
4,3,9.365822614392663
4,9,2.8194234975547046
5,9,1.8396078909304148
3,5,6.789928766531096
5,5,4.341849905766258
5,7,6.013119065928237
5,8,8.116905940313611
6,9,6.207526392738218
7,6,9.128137057020002
6,4,2.664265196584748
6,7,9.39381200614887
6,2,9.551062565805204
7,4,9.976169110202523
2,7,8.382701329010137
7,5,2.8546873273717095
7,4,6.621543637763381
7,1,6.128866297682004
8,6,6.21471578582328
9,8,2.5820870727002023
8,1,1.3763043576402927
8,5,4.296793788999066
8,2,8.576661163343546
9,2,8.909455082659395
8,9,9.966714565746923
9,2,6.555998967827304
9,1,2.9678312354447813
9,3,1.835876499571881
